AccountCode,Description,SubTotal,TotalTax,TotalAmount,Date,ContactName,RemainingCredit,CurrencyCode,Status,OverpaymentID
610,overpayment on initial £61k repayment,641.65,0.0,641.65,2019-02-15,Back and Body Bedford (Great Denham) Limited,641.65,GBP,VOIDED,bde7c3f0-ee33-4f21-b5bf-53527eca0437
610,loan repaid,500.0,0.0,500.0,2019-02-15,Back and Body Bedford (Great Denham) Limited,500.0,GBP,VOIDED,11faf7e0-6cc1-495e-9304-9e04e5d291d0
610,loan repaid from GD,1093.45,0.0,1093.45,2019-02-15,Back and Body Bedford (Great Denham) Limited,0.0,GBP,PAID,97ea06dc-7a22-421f-9e69-4299e63ffbd3
610,overpayment on initial £61k repayment,641.65,0.0,641.65,2019-02-15,Back and Body Bedford (Great Denham) Limited,641.65,GBP,VOIDED,bde7c3f0-ee33-4f21-b5bf-53527eca0437
610,loan repaid,500.0,0.0,500.0,2019-02-15,Back and Body Bedford (Great Denham) Limited,500.0,GBP,VOIDED,11faf7e0-6cc1-495e-9304-9e04e5d291d0
610,loan repaid from GD,1093.45,0.0,1093.45,2019-02-15,Back and Body Bedford (Great Denham) Limited,0.0,GBP,PAID,97ea06dc-7a22-421f-9e69-4299e63ffbd3
